date,id,paper_title,page,n_pages,string_length,character_proportion,men_count,women_count,size,total_count,year,men_areas,women_areas
1950-03-31,KBNRC01:000087557:mpeg21:a0089,Algemeen Handelsblad,6,10,1215,0.0002542442041737901,1,0,3266712,1,1950,[0.24303183139499288],[]
1950-03-31,KBNRC01:000087557:mpeg21:a0107,Algemeen Handelsblad,7,10,1112,0.00023257623355338837,0,1,4062324,1,1950,[],[0.06497463028552129]
1950-03-31,KBNRC01:000087557:mpeg21:a0121,Algemeen Handelsblad,8,10,329,2.3943549116624954e-05,0,5,7732000,5,1950,[],"[0.08410631143300569, 0.0745028453181583, 0.0750853595447491, 0.3444919813760993, 0.14756104500775996]"
1950-03-31,KBNRC01:000087557:mpeg21:a0133,Algemeen Handelsblad,8,10,794,0.00010537656727736414,1,0,5108730,1,1950,[0.08238720777962429],[]
1950-03-31,KBNRC01:000087557:mpeg21:a0155,Algemeen Handelsblad,10,10,562,0.00012948819445532473,0,2,2943444,2,1950,[],"[0.01853610940109613, 0.3452282428339048]"
1950-03-31,KBNRC01:000087557:mpeg21:a0162,Algemeen Handelsblad,10,10,5,1.9311550933829363e-06,1,1,1525732,2,1950,[0.1883286186564875],[0.09614532565352238]
1950-04-01,KBNRC01:000087558:mpeg21:a0120,Algemeen Handelsblad,7,12,716,5.158224576562713e-05,0,1,8044162,1,1950,[],[0.35113415169908313]
1950-04-03,KBNRC01:000087559:mpeg21:a0078,Algemeen Handelsblad,5,8,190,0.0003294630099740591,1,1,544362,2,1950,[0.009390809792013403],[0.01144826420653903]
1950-04-03,KBNRC01:000087559:mpeg21:a0091,Algemeen Handelsblad,5,8,884,0.00025950777481183494,1,0,2618343,1,1950,[0.10234258842328908],[]
1950-04-03,KBNRC01:000087559:mpeg21:a0106,Algemeen Handelsblad,6,8,13,2.400483346554457e-06,0,2,3019248,2,1950,[],"[0.1179111487363741, 0.12462606582831222]"
1950-04-03,KBNRC01:000087559:mpeg21:a0139,Algemeen Handelsblad,8,8,229,1.6105329133851178e-05,2,1,7963752,3,1950,"[0.027570044873321018, 0.19866414725119516]",[0.20293725871925694]
1950-04-04,KBNRC01:000087560:mpeg21:a0149,Algemeen Handelsblad,8,8,811,0.00011010530465906999,2,0,5627868,2,1950,"[0.13101799828993857, 0.11902677887967522]",[]
